product_id,selected_evidence_url,title,source_type,source_tier,identity_grade,identity_brand,identity_form,identity_strength,explicit_status_excerpt,reject_reason,logical_search_query_count,fetched_page_count,from_fetch
3065,https://apteka.ru/product/flukonazol-obl-150-mg-1-sht-kapsuly-610a85806b773f4f59e2327e/instructions/,Инструкция по применению Флуконазол-obl 150 мг 1 шт. капсулы,pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
3065,https://aptekamos.ru/tovary/lekarstva/flukonazol-993/flukonazol-obl-kapsuly-150mg-75502/instrukciya,Инструкция Флуконазол-OBL капсулы 150мг: показания и …,pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
3065,https://www.vidal.ru/drugs/fluconazole-obl__37379,"Флуконазол-OBL инструкция по применению: показания, …",rls_or_vidal_product_card,P2,A,True,True,True,(fluconazole) Rec.INN зарегистрированное ВОЗ Лекарственные формы Флуконазол-OBL Без рецепта Капсулы 150 мг: 1 шт. РУ: ЛП-№(001911)-(РГ-RU) от 09.03.23 - Бессрочно Дата переоформления: 24.09.24 Препарат отпускает,,7,4,True
3065,https://apteka.ru/product/flukonazol-obl-150-mg-1-sht-kapsuly-6915d215b54aad490ad35011/,"Флуконазол-obl 150 мг 1 шт. капсулы - цена 46 руб., купить в …",pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
4922,https://grls.rosminzdrav.ru/Grls_View_v2.aspx?routingGuid=150b2fd7-dd3c-4227-aa69-61c4de6db279&t,Государственный реестр лекарственных средств,grls_official_product_record,P1,D,False,False,False,ивать) 0.5 мл (1 доза) - шприцы - пачки картонные /в комплекте с иглой-1 шт./ - По рецепту 0.5 мл (1 доза) - шприцы (10 шт.) - пачки картонные /в комплекте с иглами-10 шт./ - для лечебно-профилактических учрежд,identity_d,7,4,True
4922,https://grls.rosminzdrav.ru/Grls_View_v2.aspx?routingGuid=0b736dbe-cb72-4cf4-b772-80c11cebcda6,Государственный реестр лекарственных средств,grls_official_product_record,P1,D,False,False,False,да При температуре не выше 25 град. 10 шт. - банки - пачки картонные (10 шт.) - По рецепту 10 шт. - упаковки ячейковые контурные - пачки картонные (10 шт.) - По рецепту 10 шт. - упаковки ячейковые контурные (10,identity_d,7,4,True
4922,https://www.vidal.ru/drugs/termicon__13678,"Термикон инструкция по применению: показания, …",rls_or_vidal_product_card,P2,D,True,False,True,,no_explicit_status,7,4,True
4922,https://apteka.ru/product/termikon-250-mg-14-sht-tabletki-5e326ac4ca7bdc000192e0a9/instructions/,Инструкция по применению Термикон 250 мг 14 шт. таблетки,pharmacy_product_card,P2,D,True,False,True,,no_explicit_status,7,4,True
4924,https://www.vidal.ru/drugs/termicon__13678,"Термикон инструкция по применению: показания, …",rls_or_vidal_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
4924,https://apteka.ru/product/termikon-250-mg-14-sht-tabletki-5e326ac4ca7bdc000192e0a9/instructions/,Инструкция по применению Термикон 250 мг 14 шт. таблетки,pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
4924,https://www.rlsnet.ru/drugs/termikon-16124,"Термикон — инструкция по применению, дозы, побочные …",rls_or_vidal_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
4924,https://aptekamos.ru/tovary/lekarstva/terbinafin-869/termikon-tabletki-250mg-30184/instrukciya,Инструкция Термикон таблетки 250мг: показания и …,pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
19370,https://www.vidal.ru/drugs/duspatalin__1486,"Дюспаталин инструкция по применению: показания, …",rls_or_vidal_product_card,P2,D,True,False,False,почек Противопоказан для детей Возможно применение пожилыми пациентами Препарат отпускается по рецепту Входит в список «Жизненно необходимых и важнейших лекарственных препаратов» Температура хранения: от 2 до 25 °С Поиск а,form_mismatch,7,4,True
19370,https://www.rlsnet.ru/drugs/dyuspatalin-11389,"Дюспаталин — инструкция по применению, дозы, побочные …",rls_or_vidal_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
19370,https://aptekamos.ru/tovary/lekarstva/mebeverin-6238/dyuspatalin-kapsuly-200mg-22631/instrukciya,Инструкция Дюспаталин капсулы 200мг: показания и …,pharmacy_product_card,P2,A,True,True,True,,no_explicit_status,7,4,True
19370,https://www.vidal.ru/drugs/duspatalin__33504,"Дюспаталин инструкция по применению: показания, …",rls_or_vidal_product_card,P2,A,True,True,True,грудью Противопоказан для детей C осторожностью применяется у пожилых пациентов Без рецепта Входит в список «Жизненно необходимых и важнейших лекарственных препаратов» Температура хранения: от 2 до 30 °С Поиск а,,7,4,True
